class;H_precision;H_recall;H_f1-score;NH_precision;NH_recall;NH_f1-score;support
Roubo a Estabelecimento Comercial;0.45917;0.55543;0.50273;0.42373;0.52141;0.46752;911
Roubo a Transeunte;0.76321;0.49866;0.60321;0.73462;0.39603;0.51462;19837
Roubo de Carga;0.71906;0.86148;0.78385;0.72736;0.82313;0.77229;1747
Roubo de Telefone Celular;0.46553;0.56490;0.51042;0.45595;0.49715;0.47566;6849
Roubo de Veículo;0.82968;0.77387;0.80080;0.82750;0.67613;0.74420;10600
Roubo de Veículo - Moto;0.58222;0.86387;0.69562;0.55364;0.79981;0.65434;2123
Roubo no Interior de Coletivo;0.72791;0.88650;0.79942;0.69803;0.85525;0.76868;3392
Roubo no Interior de Estabelecimento Comercial;0.15885;0.49320;0.24030;0.18260;0.45631;0.26082;515
Roubo no Interior de Veículo;0.19891;0.44439;0.27481;0.17397;0.39513;0.24158;1888
Roubo outros;0.29687;0.23708;0.26363;0.27214;0.20316;0.23264;8048
Sanções Penais e Administrativas ao Meio Ambiente;0.32170;0.90598;0.47480;0.21439;0.93590;0.34886;468
Tráfico de Drogas (Lei 11.343/06);0.60983;0.42834;0.50322;0.58316;0.37380;0.45558;3649
Vias de Fato;0.23903;0.20703;0.22188;0.32102;0.17220;0.22416;3130
Violação de Domicílio;0.13580;0.67496;0.22611;0.11306;0.67496;0.19367;1206
